Investigation Type,Latitude,Longitude,Aircraft Category,Make,Amateur Built,Number of Engines,Engine Type,Purpose of Flight,Weather Condition,
 Accident ,36.374167,-121.414167, Airplane , Air Tractor , No ,1, Reciprocating , Aerial Application , VMC , 
 Accident ,32.436666,-111.029445, Airplane , Senft/Anderson/salmon , Yes ,1, Reciprocating , Personal , VMC , 
 Accident ,33.3525,-117.250556, Airplane , Piper , No ,1, Reciprocating , Personal , VMC , 
 Accident ,,,, Cessna , No ,,, Personal , VMC , 
 Accident ,39.788333,-82.940277, Airplane , CESSNA , No ,2, Turbo Prop ,, IMC , 
 Accident ,33.481389,-82.040833, Airplane , PIPER , No ,1, Reciprocating , Business , VMC , 
 Accident ,38.508333,-87.608333, Helicopter , Schweizer , No ,1, Reciprocating , Personal , VMC , 
 Accident ,44.796111,-111.624723,, Bell , No ,1, Turbo Shaft , Positioning , VMC , 
 Incident ,36.732223,-119.820278, Helicopter , Robinson , No ,1, Reciprocating , Instructional , VMC , 
 Accident ,29.406944,-82.269723, Helicopter , ROBINSON HELICOPTER , No ,1, Reciprocating , Instructional , VMC , 
 Accident ,39.675556,-75.612222, Airplane , BEECH , No ,2, Reciprocating , Personal , VMC , 
 Accident ,31.856389,-89.239166, Airplane , Vans Aircraft , Yes ,1, Reciprocating , Personal , VMC , 
 Accident ,60.809722,-148.555278, Helicopter , Eurocopter Deutschland , No ,2, Turbo Shaft ,, IMC , 
 Incident ,39.175278,-76.668334,," Bombardier, Inc. ", No ,,,, VMC , 
 Incident ,39.175278,-76.668334,, Airbus Industrie , No ,,,, VMC , 
 Accident ,47.774167,-116.819445, Airplane , CESSNA , No ,2, Turbo Fan , Personal , VMC , 
 Accident ,28.300556,-80.721389, Airplane , PORTER GLEN , Yes ,1,, Personal , VMC , 
 Accident ,39.168334,-77.165, Airplane , CESSNA , No ,1, Reciprocating , Instructional , VMC , 
 Accident ,25.641944,-80.426389,, Cessna , No ,1, Reciprocating , Instructional , VMC , 
 Accident ,35.3075,-82.430556, Airplane , Cirrus , No ,1, Reciprocating , Personal , VMC , 
 Accident ,33.422778,-86.936111,, Bell , No ,1, Turbo Shaft ,, VMC , 
 Accident ,,,, McDonnell Douglas ,,,,,, 
 Accident ,34.144444,-96.811389, Airplane , Cessna , No ,1, Reciprocating , Instructional , VMC , 
 Accident ,60.085555,-174.296666, Airplane , Piper , No ,1, Reciprocating , Personal , VMC , 
 Accident ,36.603889,-117.159167, Airplane , Beech , No ,1, Reciprocating , Personal , VMC , 
